sha,author,message
ff9a945bd6461a7c163b52d38a889cfa04d5efcd,JoaoFelipe,"Fix readme, setup.py, slicing.
Add support to run through python -m noworkflow.
Version 0.15.0"
7bb9a808ca101e263b01203a34577895c95649c6,JoaoFelipe,#71: demo command
9b02daaaca6acf978650d29ed0d331caa5fff14a,JoaoFelipe,Version 0.14.0
90d207dd813b75543e52a13e326ec5972eca8d43,JoaoFelipe,Merge branch 'gdse' into cm
9058e3f6d04685d8f3d647fe3d57625414518da5,JoaoFelipe,Version 0.13.0
35ac727c0c023dd359121c3a66a26a42e9fed13e,JoaoFelipe,#70: fix prolog retract
0c796e14b4e47c88a4c656b032720603639f807b,JoaoFelipe,#33: use tag to load trials and diff
367f1634132e05cd228126335d4a78bc19e4edad,JoaoFelipe,#33: Create autoincrement semantic versioned tags for trials
3cfe8dc34ed8c0ba83a38cda474b9216f1cabe2b,JoaoFelipe,#70: show slicing variables on $ now show command
f82059e233274e57e782914e1544f6c3cb24fca3,JoaoFelipe,#70: export slicing to prolog with link to function activations
7dbfd0c3b0c47508391255aaeeac01f9e0896c1a,JoaoFelipe,#70: Show slicing variables on activation graphs
0a6692ff51d00fdd0ceea492f694987c86f7dd0e,JoaoFelipe,#70: Link slicing variables to activations on collection.
333cbe274348428f1a9514fe81406f8416036845,JoaoFelipe,Release 0.12.3
a3c3d2713672521c1783dee154dcd04b411e2417,JoaoFelipe,Improve performance
a248562487d404c33108bf0989547d414e497894,JoaoFelipe,0.12.2 Release
ad9d5d0fc7090f5e385c79fb77739c3222b9920d,JoaoFelipe,Optimize execution. Remove unnecessary lines
2d539f7416de31fba3c7262ebb5fdb4041d90fe2,JoaoFelipe,Change serializer
3f4c51c74f35b059c7d92a2fce1d9a1eee065264,JoaoFelipe,Release 0.12.1
70d9780f17537861125d87c14ecc353b1a7bea72,JoaoFelipe,Fix Profiler bug
fd590317d2e1f7fc027dbb3246027ffa41b2c91d,JoaoFelipe,Merge branch 'master' of https://github.com/gems-uff/noworkflow
61ef9e51d9f681512081de2cedbddceba1ddc41e,JoaoFelipe,Release 0.12.0
fa54c282d7850a8b7e5b2d6aa8b1bb1f01eced6e,JoaoFelipe,#58: Add 'now debug'. Change trial to load last id by default
19c19d2e2b0fc70098e20e68cf8dd793e8cfa6ed,JoaoFelipe,"Fix run, fix restore magic, add metascript class, add partial save frequency"
bbf02b1d4e94de8c3aa6e8c5b4d297ce2e3d30fb,JoaoFelipe,"Split bytecode file, create cross version 'dis' module. Fix Python 3 profiler"
fd4085cfa8429c5ba2491cb3e9976b7abd79dad5,JoaoFelipe,"Merge pull request #67 from remram44/fix-readme

Fix README.md"
ea181f73c77a031a787f9e8dee0474a1193e41f0,JoaoFelipe,#58: Invoke any debugger with noWorkflow
84e6b715fb5be837e43ffcfc1c1a2ed15157422f,JoaoFelipe,Fix output redirect and create docstring for cmd and graphs
1448a2016da4bb666faa162c07999a0d22c5e60d,remram44,Fix README.md
5c6a896bbf2280856922fdf30691ae319530686e,JoaoFelipe,#58: Add command to open now vis inside the debugger
4c1af4aee317af3a72c728894afd66389414343d,JoaoFelipe,#65: Support partial visualization
d237a5bf77ebb659b5cf095be0002de83db85804,JoaoFelipe,#65: Create partial save function
8042daf7de04e8d2fffd7ffe805ef8945cd94b77,JoaoFelipe,"#63: Process id for activations, file_acesses and object_values"
fc38fd685a84d64c2d10acf8235812bcdb87b58e,JoaoFelipe,Fix version numbering
e24696599213b04362fcf343a14b1d6f5a010ad4,JoaoFelipe,#42: Detect variable usage during Del operation
7bce810127ed1a9496ead22298d8ee60d564940a,JoaoFelipe,#37: fix yield bug
